ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	Subunits comment	SWISSPROT organism	subunits(Protein name)	Disease comment	PubMed ID	subunits(Gene name)	Complex comment
15	NCOR complex	Human	None	None	O15379;O60907;O75376;Q13227;Q92828;Q9BZK7	8841;6907;9611;2874;7464;79718	MI:0004- affinity chromatography technologies; MI:0019- coimmunoprecipitation; MI:0069- mass spectrometry studies of complexes	GO:0006265;GO:0016564;GO:0006473;GO:0006476;GO:0051276;GO:0005634	DNA topological change;obsolete transcription repressor activity;protein acetylation;protein deacetylation;chromosome organization;nucleus	10.01.09.05;11.02.03.04.03;14.07.04;10.01.02;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;DNA topology;organization of chromosome structure;nucleus	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Histone deacetylase 3;F-box-like/WD repeat-containing protein TBL1X;Nuclear receptor corepressor 1;G protein pathway suppressor 2;Coronin-2A;F-box-like/WD repeat-containing protein TBL1XR1	None	12628926	HDAC3;TBL1X;NCOR1;GPS2;CORO2A;TBL1XR1	By using specific small interference RNAs (siRNAs), the authors demonstrate that HDAC3 is essential, whereas TBL1 and TBLR1 are functionally redundant but essential for repression by unliganded thyroid hormone receptor.
23	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Human	None	None	O95295;P78537;Q6QNY0;Q6QNY1;Q8TDH9;Q96EV8;Q9NUP1;Q9UL45	23557;2647;388552;282991;63915;84062;55330;26258	MI:0019- coimmunoprecipitation	GO:0007032;GO:0007040;GO:0007033	endosome organization;lysosome organization;vacuole organization	42.22;42.25	endosome;vacuole or lysosome	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	SNARE-associated protein Snapin;Biogenesis of lysosome-related organelles complex 1 subunit 1;Biogenesis of lysosome-related organelles complex 1 subunit 3;Biogenesis of lysosome-related organelles complex 1 subunit 2;Protein Muted homolog;Dysbindin;Protein cappuccino homolog;Pallidin	PLDN, MUTED, CNO and DTNBP1 are involved in Hermansky-Pudlak syndrome (HPS), a genetic disorder characterized by hypopigmentation and platelet storage pool deficiency.	15102850	SNAPIN;BLOC1S1;BLOC1S3;BLOC1S2;MUTED;DTNBP1;CNO;PLDN	The authors identified Snapin, BLOS1, BLOS2, and BLOS3 as subunits of BLOC-1 and found that the HPS mouse model strain, reduced pigmentation, carries a nonsense mutation in BLOS3. The genes encoding these proteins may underlie the pathogenesis of novel forms of HPS in patients having no detectable mutation in any of the genes that cause HPS types 1-7.
24	BLOC-1 (biogenesis of lysosome-related organelles complex 1)	Mouse	None	None	O55102;Q5U5M8;Q8R015;Q8VED2;Q91WZ8;Q9CWG9;Q9R0C0;Q9Z266	14533;232946;17828;117197;94245;73689;18457;20615	MI:0019- coimmunoprecipitation; MI:0071- molecular sieving	GO:0007032;GO:0007040;GO:0007033	endosome organization;lysosome organization;vacuole organization	42.22;42.25	endosome;vacuole or lysosome	None	Mus musculus;Mus musculus;Mus musculus;Mus musculus;Mus musculus;Mus musculus;Mus musculus;Mus musculus	Biogenesis of lysosome-related organelles complex 1 subunit 1;Biogenesis of lysosome-related organelles complex 1 subunit 3;Protein Muted;Protein cappuccino;Dysbindin;Biogenesis of lysosome-related organelles complex 1 subunit 2;Pallidin;SNARE-associated protein Snapin	PLDN, MUTED, CNO and DTNBP1 are involved in Hermansky-Pudlak syndrome (HPS), a genetic disorder characterized by hypopigmentation and platelet storage pool deficiency.	15102850	Bloc1s1;Bloc1s3;Muted;Cno;Dtnbp1;Bloc1s2;Pldn;Snapap	The authors identified Snapin, BLOS1, BLOS2, and BLOS3 as subunits of BLOC-1 and found that the HPS mouse model strain, reduced pigmentation, carries a nonsense mutation in BLOS3. The genes encoding these proteins may underlie the pathogenesis of novel forms of HPS in patients having no detectable mutation in any of the genes that cause HPS types 1-7.
25	9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex	Mouse	None	None	O08915;P07901;P11499;P30561	11632;15519;15516;11622	MI:0019- coimmunoprecipitation; MI:0030- cross-linking studies	GO:0006950;GO:0009593;GO:0042221;GO:0005737	response to stress;detection of chemical stimulus;response to chemical;cytoplasm	32.01;34.11.03;70.03	stress response;chemoperception and response;cytoplasm	None	Mus musculus;Mus musculus;Mus musculus;Mus musculus	AH receptor-interacting protein;Heat shock protein HSP 90-alpha;Heat shock protein HSP 90-beta;Aryl hydrocarbon receptor	None	1310021	Aip;Hsp90aa1;Hsp90ab1;Ahr	The authors propose that the AhR exists in cytosol as a tetrameric species, while in the nucleus the AhR exists as a heterodimer.
26	Bestrophin-protein phosphatase 2A complex	Pig	None	None	P11493;P54612;P54613;P67776;Q8WMR7	397136;397088;397470;397656;397169	MI:0004- affinity chromatography technologies; MI:0019- coimmunoprecipitation	GO:0006821;GO:0005216;GO:0023052;GO:0009583;GO:0009416;GO:0007601;GO:9999982	chloride transport;ion channel activity;signaling;detection of light stimulus;response to light stimulus;visual perception;no GO term corresponding to 77.03.02.02	20.01.01.07.09;20.03.01.01;30.01.05;30.01.05.01.05;30.01.05.01.06;30.01.05.03;30.01.05.05.03;30.01.11;30.05.01.05;30.05.02;30.05.02.28;30.05.02.30;30.07;34.11.01;34.11.01.01;34.11.01.03;36.25.01.01;77.03.02.02	chloride transport;ion channels;enzyme mediated signal transduction;tyrosine kinase;serine/threonine kinase;protease mediated signal transduction;trimeric G-protein mediated signal transduction;ligand-dependent nuclear receptors;interleukine receptor signalling pathway;non-enzymatic receptor mediated signalling;cadherin mediated signalling pathway;ion channel mediated signalling pathway;regulation of signal transduction;photoperception and response;light environment response;visual transduction;vision;eye	None	Sus scrofa;Sus scrofa;Sus scrofa;Sus scrofa;Sus scrofa	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform;Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform;Bestrophin-1	None	12058047	PPP2CB;PPP2R1A;PPP2R1B;PPP2CA;BEST1	The interaction of bestrophin and PP2A suggests that phosphorylation or dephosphorylation of bestrophin may act as the on/off switch for the light peak or modulate its amplitude or timing.
27	Arp2/3 protein complex	Human	None	None	O15143;O15144;O15145;O15511;P59998;P61158;P61160	10095;10109;10094;10092;10093;10096;10097	MI:0027- cosedimentation; MI:0071- molecular sieving	GO:0005515;GO:0030036;GO:0005737	protein binding;actin cytoskeleton organization;cytoplasm	16.01;18.01.07;42.04.03;70.03	protein binding;regulation by binding / dissociation;actin cytoskeleton;cytoplasm	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Actin-related protein 2/3 complex subunit 1B;Actin-related protein 2/3 complex subunit 2;Actin-related protein 2/3 complex subunit 3;Actin-related protein 2/3 complex subunit 5;Actin-related protein 2/3 complex subunit 4;Actin-related protein 3;Actin-related protein 2	None	9359840	ARPC1B;ARPC2;ARPC3;ARPC5;ARPC4;ACTR3;ACTR2	None
28	Modulator	Bovine	PA700-dependent proteasome activator	None	Q2KIW6;Q3SZ19;Q3SZ81	518637;513315;508448	MI:0071- molecular sieving; MI:0226- ion exchange chromatography	GO:0043161;GO:0006511;GO:0005524;GO:0051098;GO:0005515;GO:0016504;GO:0005737;GO:0005634	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;ATP binding;regulation of binding;protein binding;peptidase activator activity;cytoplasm;nucleus	14.13.01.01;16.19.03;18.01.07;16.01;18.02.01.01.03;70.03;70.10	proteasomal degradation (ubiquitin/proteasomal pathway);ATP binding;regulation by binding / dissociation;protein binding;protease activator;cytoplasm;nucleus	None	Bos taurus;Bos taurus;Bos taurus	26S protease regulatory subunit S10B;26S proteasome non-ATPase regulatory subunit 9;PSMC3 protein	None	8621709	PSMC6;PSMD9;PSMC3	The modulator has no direct effect on the activity of the proteasome, but enhances PA700 activation of the proteasome by up to 8-fold. This activation is associated with the formation of a proteasome/PA700-containing complex that is significantly larger than that formed in its absence. Two of its proteins, p50 and p42, were also identified as components of PA700.
29	PA28gamma complex	Human	None	None	P61289	10197	MI:0226- ion exchange chromatography; MI:0071- molecular sieving	GO:0043161;GO:0006511;GO:0005515;GO:0051098;GO:0016504;GO:0005737;GO:0005634	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;regulation of binding;peptidase activator activity;cytoplasm;nucleus	14.13.01.01;16.01;18.01.07;18.02.01.01.03;70.03;70.10	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;regulation by binding / dissociation;protease activator;cytoplasm;nucleus	According to gel filtration chromatography experiments, the protein complex probably consists of seven identical subunits.	Homo sapiens	Proteasome activator complex subunit 3	None	9325261	PSME3	None
30	PA28 complex	Human	11S REG	None	Q06323;Q9UL46	5720;5721	MI:0071- molecular sieving; MI:0226- ion exchange chromatography	GO:0043161;GO:0006511;GO:0051098;GO:0005515;GO:0016504;GO:0005737	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of binding;protein binding;peptidase activator activity;cytoplasm	14.13.01.01;18.01.07;16.01;18.02.01.01.03;70.03	proteasomal degradation (ubiquitin/proteasomal pathway);regulation by binding / dissociation;protein binding;protease activator;cytoplasm	None	Homo sapiens;Homo sapiens	Proteasome activator complex subunit 1;Proteasome activator complex subunit 2	None	9325261	PSME1;PSME2	PA28 is a regulatory complex of the 20S proteasome. It acts as proteasome activator and stimulates cleavage after basic, acidic, and most hydrophobic residues in many peptides.
31	PA28 complex	Bovine	11S REG	None	Q2KJE7;Q5E9G3	510041;509857	MI:0226- ion exchange chromatography	GO:0043161;GO:0006511;GO:0051098;GO:0005515;GO:0016504;GO:0005737	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of binding;protein binding;peptidase activator activity;cytoplasm	14.13.01.01;18.01.07;16.01;18.02.01.01.03;70.03	proteasomal degradation (ubiquitin/proteasomal pathway);regulation by binding / dissociation;protein binding;protease activator;cytoplasm	None	Bos taurus;Bos taurus	Proteasome;Proteasome activator complex subunit 2	None	7989312	PSME1;PSME2	PA28 is a regulatory complex of the 20S proteasome. It acts as proteasome activator and stimulates cleavage after basic, acidic, and most hydrophobic residues in many peptides.
32	PA700 complex	Human	19S complex	None	O00231;O00232;O00233;O00487;O43242;O75832;P17980;P35998;P43686;P48556;P51665;P55036;P62191;P62195;P62333;Q13200;Q15008;Q16401;Q99460;Q9UNM6	5717;5718;5715;10213;5709;5716;5702;5701;5704;5714;5713;5710;5700;5705;5706;5708;9861;5711;5707;5719	MI:0226- ion exchange chromatography; MI:0071- molecular sieving	GO:0043161;GO:0006511;GO:0005515;GO:0051098;GO:0016504;GO:0005737	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;regulation of binding;peptidase activator activity;cytoplasm	14.13.01.01;16.01;18.01.07;18.02.01.01.03;70.03	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;regulation by binding / dissociation;protease activator;cytoplasm	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	26S proteasome non-ATPase regulatory subunit 11;26S proteasome non-ATPase regulatory subunit 12;26S proteasome non-ATPase regulatory subunit 9;26S proteasome non-ATPase regulatory subunit 14;26S proteasome non-ATPase regulatory subunit 3;26S proteasome non-ATPase regulatory subunit 10;26S protease regulatory subunit 6A;26S protease regulatory subunit 7;26S protease regulatory subunit 6B;26S proteasome non-ATPase regulatory subunit 8;26S proteasome non-ATPase regulatory subunit 7;26S proteasome non-ATPase regulatory subunit 4;26S protease regulatory subunit 4;26S protease regulatory subunit 8;26S protease regulatory subunit S10B;26S proteasome non-ATPase regulatory subunit 2;26S proteasome non-ATPase regulatory subunit 6;26S proteasome non-ATPase regulatory subunit 5;26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-ATPase regulatory subunit 13	None	9148964	PSMD11;PSMD12;PSMD9;PSMD14;PSMD3;PSMD10;PSMC3;PSMC2;PSMC4;PSMD8;PSMD7;PSMD4;PSMC1;PSMC5;PSMC6;PSMD2;PSMD6;PSMD5;PSMD1;PSMD13	The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively.
33	Prefoldin	Human	None	None	O15212;O60925;P61758;Q99471;Q9NQP4;Q9UHV9	10471;5201;7411;5204;5203;5202	MI:0071- molecular sieving	GO:0050821;GO:0006457;GO:0005515;GO:0030036;GO:0000226;GO:0005737	protein stabilization;protein folding;protein binding;actin cytoskeleton organization;microtubule cytoskeleton organization;cytoplasm	14.01;14;16.01;18.01.07;42.04.03;42.04.05;70.03	protein folding and stabilization;PROTEIN FATE (folding, modification, destination);protein binding;regulation by binding / dissociation;actin cytoskeleton;microtubule cytoskeleton;cytoplasm	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	Prefoldin subunit 6;Prefoldin subunit 1;Prefoldin subunit 3;Prefoldin subunit 5;Prefoldin subunit 4;Prefoldin subunit 2	None	14634002	PFDN6;PFDN1;VBP1;PFDN5;PFDN4;PFDN2	None
34	Aqp4-Dag1-Dmd-Snta1 complex	Rat	None	None	P47863;Q498T0;Q7TPH2;Q7TPH3;Q7TPH4;Q91XP6	25293;362242;24907;24907;24907;114489	MI:0019- coimmunoprecipitation	GO:0015267;GO:0005886;GO:9999984	channel activity;plasma membrane;no GO term corresponding to 77.03.01.01.01	20.03.01;70.02;70.02.01;77.03.01.01.01	channel / pore class transport;eukaryotic plasma membrane / membrane attached;eukaryotic intracellular plasma membrane;brain	None	Rattus norvegicus;Rattus norvegicus;Rattus norvegicus;Rattus norvegicus;Rattus norvegicus;Rattus norvegicus	Aquaporin-4;Snta1 protein;Dystrophin Dp71c;Dystrophin Dp71ab;Dystrophin Dp71a;Dystroglycan 1	None	11717465	Aqp4;Snta1;Dmd;Dmd;Dmd;Dag1	The authors show that expression and subcellular localization of AQP4 depend on association with the dystrophin complex through a tSSV-PDZ-mediated interaction with alpha -syntrophin.
36	AP1 adaptor complex	Human	None	None	O43747;O75843;P56377;P61966;Q10567;Q96PC3;Q9BXS5;Q9Y6Q5	164;8906;8905;1174;162;130340;8907;10053	MI:0018- two hybrid	GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0006900;GO:0016050;GO:0006897;GO:0030133	intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;membrane budding;vesicle organization;endocytosis;transport vesicle	14.04;14;20.01.10;20.09.07;20.09.07.25;20.09.18.09.01;42.09;70.09	protein targeting, sorting and translocation;PROTEIN FATE (folding, modification, destination);protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles;intracellular transport vesicles	None	Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens;Homo sapiens	AP-1 complex subunit gamma-1;AP-1 complex subunit gamma-like 2;AP-1 complex subunit sigma-2;AP-1 complex subunit sigma-1A;AP-1 complex subunit beta-1;AP-1 complex subunit sigma-3;AP-1 complex subunit mu-1;AP-1 complex subunit mu-2	None	9733768	AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2	This adaptor-related complex participates in a transport step different from that of AP-1. It may function at some trafficking step in the complex pathways between the TGN and the cell surface.
37	CDH23-harmonin transmembrane complex	Mouse	None	None	Q99PF4;Q9ES64	22295;72088	MI:0019- coimmunoprecipitation; MI:0096- pull down; MI:0018- two hybrid	GO:0007605;GO:0030154;GO:9999983	sensory perception of sound;cell differentiation;no GO term corresponding to 77.03.02.01	36.25.01.03;43.03;43.03.07.01;43.03.07.02.01;43.03.23;40.02;77.03.02.01	hearing;animal cell type differentiation;erythrocyte;lymphocyte;sensory cell;cell differentiation;ear	None	Mus musculus;Mus musculus	Cadherin-23;Harmonin	None	12407180	Cdh23;Ush1c	None
